sourceNodeId,relationshipType,target_targetNode_gt_median
35,CITES,0
35,CITES,1
35,CITES,1
35,CITES,1
35,CITES,1
35,CITES,1
35,CITES,1
35,CITES,1
35,CITES,1
35,CITES,1
35,CITES,1
35,CITES,1
35,CITES,1
35,CITES,1
35,CITES,1
35,CITES,1
35,CITES,1
35,CITES,1
35,CITES,1
35,CITES,1
35,CITES,1
35,CITES,1
35,CITES,1
35,CITES,1
35,CITES,1
35,CITES,1
35,CITES,1
35,CITES,1
35,CITES,1
35,CITES,1
35,CITES,1
35,CITES,1
35,CITES,1
35,CITES,1
35,CITES,1
35,CITES,1
35,CITES,1
35,CITES,1
35,CITES,1
35,CITES,1
35,CITES,1
35,CITES,1
35,CITES,1
35,CITES,1
35,CITES,1
35,CITES,1
35,CITES,1
35,CITES,1
35,CITES,1
35,CITES,1
35,CITES,1
35,CITES,0
35,CITES,1
35,CITES,1
35,CITES,1
35,CITES,1
35,CITES,1
35,CITES,1
35,CITES,0
35,CITES,0
35,CITES,1
35,CITES,1
35,CITES,0
35,CITES,1
35,CITES,1
35,CITES,0
35,CITES,1
35,CITES,1
35,CITES,1
35,CITES,1
35,CITES,1
35,CITES,1
35,CITES,1
35,CITES,1
35,CITES,1
35,CITES,1
35,CITES,1
35,CITES,1
35,CITES,1
35,CITES,1
35,CITES,1
35,CITES,1
35,CITES,0
35,CITES,0
35,CITES,1
35,CITES,1
35,CITES,0
35,CITES,1
35,CITES,1
35,CITES,1
35,CITES,1
35,CITES,1
35,CITES,0
35,CITES,0
35,CITES,0
35,CITES,0
35,CITES,1
35,CITES,1
35,CITES,0
35,CITES,1
35,CITES,0
35,CITES,0
35,CITES,0
35,CITES,0
35,CITES,1
35,CITES,0
35,CITES,1
35,CITES,1
35,CITES,1
35,CITES,0
35,CITES,0
35,CITES,0
35,CITES,1
35,CITES,1
35,CITES,1
35,CITES,1
35,CITES,1
35,CITES,1
35,CITES,1
35,CITES,1
35,CITES,1
35,CITES,1
35,CITES,1
35,CITES,1
35,CITES,1
35,CITES,1
35,CITES,1
35,CITES,1
35,CITES,1
35,CITES,1
35,CITES,1
35,CITES,1
35,CITES,1
35,CITES,1
35,CITES,1
35,CITES,1
35,CITES,1
35,CITES,1
35,CITES,1
35,CITES,1
35,CITES,1
35,CITES,1
35,CITES,1
35,CITES,1
35,CITES,1
35,CITES,1
35,CITES,1
35,CITES,0
35,CITES,0
35,CITES,0
35,CITES,0
35,CITES,0
35,CITES,1
35,CITES,1
35,CITES,0
35,CITES,1
35,CITES,1
35,CITES,0
35,CITES,0
35,CITES,0
35,CITES,0
35,CITES,0
35,CITES,0
35,CITES,0
35,CITES,1
35,CITES,1
40,CITES,1
40,CITES,1
40,CITES,1
114,CITES,1
114,CITES,1
114,CITES,1
114,CITES,1
114,CITES,1
114,CITES,1
114,CITES,1
114,CITES,1
114,CITES,1
114,CITES,1
114,CITES,1
114,CITES,1
114,CITES,1
114,CITES,1
114,CITES,0
114,CITES,0
114,CITES,1
114,CITES,1
114,CITES,1
114,CITES,0
114,CITES,0
114,CITES,0
114,CITES,0
114,CITES,0
114,CITES,0
114,CITES,0
114,CITES,1
114,CITES,0
114,CITES,0
114,CITES,0
114,CITES,0
114,CITES,0
114,CITES,0
114,CITES,0
114,CITES,0
114,CITES,0
114,CITES,0
114,CITES,0
114,CITES,1
114,CITES,0
114,CITES,0
114,CITES,1
117,CITES,1
117,CITES,1
117,CITES,0
117,CITES,1
117,CITES,1
117,CITES,0
117,CITES,0
117,CITES,0
117,CITES,0
